SB 1 	SB 	Nelson 	General Appropriations Bill. 	['State Finances--Appropriations (I0746)'] 	03/22/2017 	Scheduled for public hearing on  . . . 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1 	['none']
SB 12 	SB 	West 	Relating to the creation of a grant program to assist law enforcement agencies with the purchase of bulletproof vests and body armor. 	["Law Enforcement (I0510),State Agencies Boards & Commissions (I0749),CRIMINAL JUSTICE DIVISION GOVERNOR'S OFFICE (V0963)"] 	03/14/2017 	Received from the Senate 	House 	Criminal Justice 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB12 	['HB 3239', 'filler']
SB 13 	SB 	Huffman, Bettencourt, Birdwell, Burton, Campbell, Hancock, Huffines, Kolkhorst, Perry, Schwertner, Taylor Van 	Relating to payroll deductions for state and local government employee organizations. 	['City Government--Employees/Officers (I0061),County Government--Employees/Officers (I0095),Education--School Districts (I0220),Fire Fighters & Police--General (I0370),Health--Emergency Services & Personnel (I0384),Labor--General (I0500),Labor--Management Relations (I0465),Law Enforcement (I0510),State Employees (I0626),LABOR UNIONS (S0078)'] 	02/21/2017 	Committee report printed and distributed: Feb 21 2017  2:41PM  	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB13 	['HB 510', 'filler']
SB 14 	SB 	Taylor Van, Bettencourt, Birdwell, Buckingham, Creighton, Hall, Hancock, Huffines, Huffman, Hughes, Kolkhorst, Lucio, Nelson, Nichols, Perry, Rodríguez, Schwertner, Seliger, Watson, West, Whitmire 	Relating to the ethics of public officers and related requirements; creating criminal offenses. 	['Elections--Candidates (I0280),Ethics (I0345),Legislature (I0520),Retirement Systems--General (I0725),State Officers (I0761),LOBBYISTS & LOBBYING (S3141),ETHICS COMMISSION TEXAS (V9939)'] 	02/08/2017 	Received from the Senate 	House 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB14 	['HB 1283', 'filler']
SB 15 	SB 	Huffines, Hall, Hancock, Taylor Van, West 	Relating to an exemption from ad valorem taxation of the residence homestead of the surviving spouse of a first responder who is killed or fatally injured in the line of duty. 	['Fire Fighters & Police--General (I0370),Health--Emergency Services & Personnel (I0384),Law Enforcement (I0510),Property Interests--Homestead (I0616),Taxation--Property-Appraisals & Appraisal Districts (I0792),Taxation--Property-Exemptions (I0793)'] 	03/14/2017 	Received from the Senate 	House 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB15 	['HB 570', 'HB 2524', 'filler']
SB 16 	SB 	Nichols, Huffman 	Relating to decreasing the fee for the issuance of an original or renewed license to carry a handgun. 	['Criminal Procedure--General (I0208),Fees & Other Nontax Revenue--Local (I0361),Military & Veterans (I0535),Weapons (I0887),PUBLIC SAFETY DEPARTMENT OF (V0251)'] 	03/22/2017 	Placed on intent calendar 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB16 	['HB 300', 'HB 339', 'HB 1024', 'filler']
SB 17 	SB 	Nelson 	Relating to the decrease of the rates of the franchise tax under certain circumstances and the expiration of that tax. 	['Taxation--Franchise (I0807),COMPTROLLER OF PUBLIC ACCOUNTS (V2608)'] 	03/21/2017 	Reported engrossed 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB17 	['none']
SB 18 	SB 	Seliger 	Relating to eliminating provisions requiring public institutions of higher education to set aside portions of designated tuition for student financial assistance. 	['Education--Higher--Institutions & Programs (I0223),Education--Higher--Student Financial Aid (I0235),Education--Higher--Tuition (I0233)'] 	03/14/2017 	Not again placed on intent calendar 	Senate 	Higher Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB18 	['none']
SB 19 	SB 	Seliger 	Relating to temporary limitations on the amount of tuition and fees charged by certain public institutions of higher education. 	['Education--Higher--Institutions & Programs (I0223),Education--Higher--Student Financial Aid (I0235),Education--Higher--Tuition (I0233),HIGHER EDUCATION COORDINATING BOARD TEXAS (V4280)'] 	03/22/2017 	Scheduled for public hearing on  . . . 	Senate 	Higher Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB19 	['none']
SB 20 	SB 	Taylor Larry 	Relating to health plan and health benefit plan coverage for abortions. 	['Abortion (I0005),Insurance--Health & Accident (I0422)'] 	03/21/2017 	Placed on intent calendar 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB20 	['HB 1113', 'filler']
SB 21 	SB 	Birdwell, Bettencourt, Campbell, Creighton, Hancock, Huffines, Perry, Seliger, Taylor Larry 	Relating to the qualifications duties and limitations of Texas delegates to a convention called under Article V of the United States Constitution; providing a criminal penalty. 	['Congress (I0085),Constitutional Revision (I0075),Legislature (I0520)'] 	03/01/2017 	Received from the Senate 	House 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB21 	['HB 506', 'filler']
SB 22 	SB 	Taylor Larry 	Relating to the establishment of a Pathways in Technology Early College High School (P-TECH) program and to the repeal of the tech-prep program. 	['Education--Higher--Institutions & Programs (I0223),Education--Primary & Secondary--Charter Schools (I0245),Education--Primary & Secondary--Curriculum (I0228),Education--Primary & Secondary--Vocational (I0240),Education--School Districts (I0220),Labor--Workforce Development (I0495),Science & Technology (I0751),EDUCATION COMMISSIONER OF (V9954),HIGHER EDUCATION COORDINATING BOARD TEXAS (V4280),WORKFORCE COMMISSION TEXAS (V0470)'] 	03/22/2017 	Placed on intent calendar 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB22 	['HB 1237', 'HB 1842', 'filler']
SB 23 	SB 	Schwertner, Bettencourt, Birdwell, Burton, Campbell, Creighton, Hancock, Huffines, Huffman, Hughes, Kolkhorst, Nelson, Perry, Seliger, Taylor Van 	Relating to requiring state contractors to participate in the federal electronic verification of employment authorization program or E-verify. 	['Aliens (I0032),Electronic Information Systems (I0311),Labor--General (I0500),Purchasing--State (I0643),State Agencies Boards & Commissions (I0749),State Employees (I0626),COMPTROLLER OF PUBLIC ACCOUNTS (V2608)'] 	03/22/2017 	Placed on intent calendar 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB23 	['SB 254', 'filler']
SB 24 	SB 	Huffman, Hancock 	Relating to a privilege from disclosure to governmental units for certain evidence concerning sermons delivered by a religious leader. 	['City Government--General (I0060),Civil Remedies & Liabilities (I0065),Courts--Civil Procedure (I0135),Open Records (I0548),Political Subdivisions (I0588),Religion (I0646),State Agencies Boards & Commissions (I0749)'] 	03/09/2017 	Received from the Senate 	House 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB24 	['HB 3956', 'filler']
SB 25 	SB 	Creighton, Bettencourt, Birdwell, Burton, Campbell, Estes, Hall, Hancock, Huffines, Huffman, Kolkhorst, Nelson, Nichols, Perry, Schwertner, Seliger, Taylor Larry, Taylor Van 	Relating to eliminating the wrongful birth cause of action. 	['Abortion (I0005),Civil Remedies & Liabilities (I0065),Women (I0925)'] 	03/21/2017 	Reported engrossed 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB25 	['HB 434', 'filler']
SB 26 	SB 	Estes 	Relating to the Texas emissions reduction plan and other related programs and measures to reduce emissions. 	['Energy--Alternative Fuels (I0314),Environment--Air (I0325),State Agencies Boards & Commissions (I0749),Vehicles & Traffic--Equipment (I0855),FUEL CELLS (S0605),HYBRID VEHICLES (S0691),SCHOOL BUSES & SCHOOL BUS DRIVERS (S1346),VEHICLE EMISSIONS (S0128),TEXAS A&M ENGINEERING EXPERIMENT STATION (U0227),ENVIRONMENTAL QUALITY TEXAS COMMISSION ON (V0334)'] 	03/15/2017 	Received from the Senate 	House 	Natural Resources & Economic Development 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB26 	['HB 1979', 'filler']
SB 27 	SB 	Campbell 	Relating to the mental health program for veterans. 	['Mental Health & Substance Abuse (I0019),Military & Veterans (I0535),VOLUNTEERS (S1314),STATE HEALTH SERVICES DEPARTMENT OF (V0463),VETERANS COMMISSION TEXAS (V0016)'] 	03/22/2017 	Placed on intent calendar 	Senate 	Veteran Affairs & Border Security 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB27 	['HB 3556', 'filler']
SB 28 	SB 	Creighton 	Relating to the financing of ports in the state. 	['Special Districts & Authorities--Navigation & Ports (I0765),State Finances--Management & Control (I0748),TRANSPORTATION TEXAS DEPARTMENT OF (V8796)'] 	03/22/2017 	Scheduled for public hearing on  . . . 	Senate 	Transportation 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB28 	['HB 4021', 'filler']
SB 29 	SB 	Creighton, Campbell, Hall, Huffines 	Relating to state contracts with and investments in companies that boycott Israel. 	['ISRAEL (G0257),Purchasing--State (I0643),State Agencies Boards & Commissions (I0749),COMPTROLLER OF PUBLIC ACCOUNTS (V2608)'] 	03/20/2017 	Placed on intent calendar 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB29 	['HB 89', 'SB 134', 'filler']
SB 30 	SB 	West, Whitmire 	Relating to inclusion of instruction regarding interaction with peace officers in the required curriculum for certain public school students and in driver education courses and to civilian interaction training for peace officers. 	['Education--Driver Education & Training (I0219),Education--Primary & Secondary--Charter Schools (I0245),Education--Primary & Secondary--Curriculum (I0228),Education--School Districts (I0220),Law Enforcement (I0510),Vehicles & Traffic--Rules of Road (I0860),PEACE OFFICERS (S0007),EDUCATION STATE BOARD OF (V0086),LAW ENFORCEMENT TEXAS COMMISSION ON (V0986)'] 	03/21/2017 	Scheduled for public hearing on  . . . 	Senate 	Criminal Justice 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB30 	['none']
SB 31 	SB 	Zaffirini 	Relating to the use of a wireless communication device while operating a motor vehicle; creating a criminal offense; modifying existing criminal penalties. 	['Vehicles & Traffic--Rules of Road (I0860),ALEX BROWN MEMORIAL ACT (P0592),EMAIL & ELECTRONIC COMMUNICATIONS (S0321),SIGNS (S0235),TELEPHONES & TELEPHONE DIRECTORIES (S5657),PUBLIC SAFETY DEPARTMENT OF (V0251),TRANSPORTATION TEXAS DEPARTMENT OF (V8796)'] 	03/22/2017 	Not again placed on intent calendar 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB31 	['HB 62', 'HB 160', 'filler']
SB 32 	SB 	Zaffirini 	Relating to the establishment and operation of the Texas B-On-time student loan program. 	['Education--Higher--Institutions & Programs (I0223),Education--Higher--Student Financial Aid (I0235),BONDS (S6060),LOANS (S0117),HIGHER EDUCATION COORDINATING BOARD TEXAS (V4280)'] 	01/24/2017 	Referred to Higher Education 	Senate 	Higher Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB32 	['none']
SB 33 	SB 	Zaffirini 	Relating to eligibility for a TEXAS Grant and to administration of the TEXAS grant program. 	['Education--Higher--Institutions & Programs (I0223),Education--Higher--Student Financial Aid (I0235)'] 	01/24/2017 	Referred to Higher Education 	Senate 	Higher Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB33 	['none']
SB 34 	SB 	Zaffirini 	Relating to outcomes-based funding for general academic teaching institutions. 	['Education--Higher--Admission & Attendance (I0257),Education--Higher--Institutions & Programs (I0223),DROPOUTS & AT-RISK STUDENTS (S0088),HIGHER EDUCATION COORDINATING BOARD TEXAS (V4280)'] 	01/24/2017 	Referred to Higher Education 	Senate 	Higher Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB34 	['HB 430', 'HB 1241', 'filler']
SB 35 	SB 	Zaffirini 	Relating to providing free full-day prekindergarten for certain children. 	['Education--Primary & Secondary--Admission & Attendance (I0227),PRESCHOOL & PREKINDERGARTEN (S0040)'] 	01/24/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB35 	['HB 196', 'HB 1858', 'filler']
SB 36 	SB 	Zaffirini 	Relating to the regulation of certain guardianship programs. 	['Probate--Guardians & Related Trusts (I0589),INTERNET (S0130),JUDICIAL BRANCH CERTIFICATION COMMISSION (V1001),SUPREME COURT (V0311)'] 	03/09/2017 	Received from the Senate 	House 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB36 	['none']
SB 37 	SB 	Zaffirini 	Relating to the requirement to obtain certification for attorneys representing persons in guardianship proceedings. 	['Lawyers (I0515),Probate--Guardians & Related Trusts (I0589),STATE BAR OF TEXAS (V2529)'] 	03/21/2017 	Received from the Senate 	House 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB37 	['none']
SB 38 	SB 	Zaffirini 	Relating to certain procedural matters in courts exercising probate jurisdiction. 	['Courts--General (I0160),Probate--Guardians & Related Trusts (I0589)'] 	03/21/2017 	Received from the Senate 	House 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB38 	['none']
SB 39 	SB 	Zaffirini 	Relating to guardianships for persons who have physical disabilities or who are incapacitated. 	['Disabilities Persons with (I0380),Lawyers (I0515),Probate--Durable Power of Attorney (I0591),Probate--Guardians & Related Trusts (I0589)'] 	03/23/2017 	Scheduled for public hearing on  . . . 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB39 	['none']
SB 40 	SB 	Zaffirini 	Relating to the bond required and the bond insurance obtained for certain judges. 	['Courts--Judges (I0140),Probate--Guardians & Related Trusts (I0589),BONDS (S6060)'] 	03/15/2017 	Received from the Senate 	House 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB40 	['none']
SB 41 	SB 	Zaffirini 	Relating to the demand for an accounting from an attorney in fact or agent of a principal by certain persons. 	['Lawyers (I0515),Probate--Durable Power of Attorney (I0591),Probate--Guardians & Related Trusts (I0589)'] 	03/09/2017 	Received from the Senate 	House 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB41 	['none']
SB 42 	SB 	Zaffirini 	Relating to the security of courts and judges in the state. 	['County Government--Employees/Officers (I0095),Courts--General (I0160),Courts--Judges (I0140),Protection of Personal Information (I0003),SHERIFFS (S1013),COURT ADMINISTRATION OFFICE OF (V8690),ETHICS COMMISSION TEXAS (V9939),LAW ENFORCEMENT TEXAS COMMISSION ON (V0986),PUBLIC SAFETY DEPARTMENT OF (V0251)'] 	01/24/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB42 	['HB 1487', 'filler']
SB 43 	SB 	Zaffirini 	Relating to the Judicial Branch Certification Commission; authorizing fees; modifying existing penalties. 	['Courts--Reporters (I0150),Occupational Regulation--Other Trades & Professions (I0541),PROCESS SERVERS (S0725),JUDICIAL BRANCH CERTIFICATION COMMISSION (V1001)'] 	01/24/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB43 	['none']
SB 44 	SB 	Zaffirini 	Relating to petition requirements for an application for a place on the general primary election ballot for certain judicial offices. 	['Courts--Judges (I0140),Elections--Candidates (I0280),Elections--Judicial (I0308),Elections--Primaries (I0285),JUSTICE OF THE PEACE (S0133),CRIMINAL APPEALS COURT OF (V1605),SUPREME COURT (V0311)'] 	03/01/2017 	Received from the Senate 	House 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB44 	['HB 1242', 'HB 1259', 'filler']
SB 45 	SB 	Zaffirini 	Relating to the service retirement annuity for certain members of the Judicial Retirement System of Texas Plan Two who resume service. 	['Courts--Judges (I0140),Retirement Systems--Judicial (I0728)'] 	01/24/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB45 	['HB 3263', 'filler']
SB 46 	SB 	Zaffirini 	Relating to allowing judges to use juror identification numbers when polling the jury. 	['Courts--Judges (I0140),Courts--Juries (I0145)'] 	03/02/2017 	Received from the Senate 	House 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB46 	['HB 1136', 'filler']
SB 47 	SB 	Zaffirini 	Relating to a study on the availability of information regarding convictions and deferred dispositions for certain misdemeanors punishable by fine only. 	['Criminal Procedure--General (I0208),CRIMINAL RECORDS (S0008),COURT ADMINISTRATION OFFICE OF (V8690)'] 	01/24/2017 	Referred to Criminal Justice 	Senate 	Criminal Justice 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB47 	['none']
SB 48 	SB 	Zaffirini 	Relating to exempting books purchased used or consumed by certain university and college students from the sales and use tax for limited periods. 	['Education--Higher--Textbooks (I0258),Taxation--Sales (I0800),COMPTROLLER OF PUBLIC ACCOUNTS (V2608)'] 	01/24/2017 	Referred to Finance 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB48 	['none']
SB 49 	SB 	Zaffirini 	Relating to the appointment by certain elected officials of students to receive a Texas Armed Services Scholarship. 	['Education--Higher--Student Financial Aid (I0235),Military & Veterans (I0535),SCHOLARSHIPS (S2123)'] 	03/07/2017 	Received from the Senate 	House 	Higher Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB49 	['HB 66', 'filler']
SB 50 	SB 	Zaffirini 	Relating to the offense of hazing. 	['Courts--Prosecuting Attorneys (I0165),Crimes--Against Persons--General (I0170),Education--Higher--General (I0231),Education--Primary & Secondary--Discipline (I0244),Education--Primary & Secondary--General (I0230),Minors--Health & Safety (I0533),FRATERNAL ORGANIZATIONS (S0207)'] 	01/24/2017 	Referred to Criminal Justice 	Senate 	Criminal Justice 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB50 	['none']
SB 51 	SB 	Zaffirini 	Relating to financial eligibility for the Texas home living (TxHmL) waiver program. 	['Human Services--Medical Assistance (I0905)'] 	01/24/2017 	Referred to Health & Human Services 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB51 	['none']
SB 52 	SB 	Zaffirini 	Relating to the reimbursement of providers for the provision of certain home telemonitoring services under Medicaid. 	['Health Care Providers (I0387),Human Services--Medical Assistance (I0905),MEDICAID (S4885),TELEMEDICINE (S0219),HEALTH & HUMAN SERVICES COMMISSION (V0177)'] 	01/24/2017 	Referred to Health & Human Services 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB52 	['HB 1950', 'filler']
SB 53 	SB 	Zaffirini 	Relating to the period of continuous eligibility for the medical assistance program. 	['Human Services--General (I0920),Human Services--Medical Assistance (I0905),HEALTH & HUMAN SERVICES COMMISSION (V0177)'] 	01/24/2017 	Referred to Health & Human Services 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB53 	['HB 1408', 'filler']
SB 54 	SB 	Zaffirini 	Relating to the immunization data included in and excluded from the immunization registry. 	['Health Care Providers (I0387),Health--General (I0385),Health--Privacy/Use of Information (I0389),IMMUNIZATIONS (S4341),HEALTH & HUMAN SERVICES COMMISSION (V0177),STATE HEALTH SERVICES DEPARTMENT OF (V0463)'] 	01/24/2017 	Referred to Health & Human Services 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB54 	['none']
SB 55 	SB 	Zaffirini 	Relating to a study of the use of a patient-reported outcomes registry in conjunction with health coverage for certain governmental employees. 	['Insurance--Health & Accident (I0422),Retirement Systems--State Employees (I0727),Retirement Systems--Teachers (I0726),EMPLOYEES RETIREMENT SYSTEM OF TEXAS (ERS) (V0471)'] 	01/24/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB55 	['HB 1976', 'filler']
SB 56 	SB 	Zaffirini 	Relating to the acknowledgment by management of risks identified in state agency information security plans. 	['Electronic Information Systems (I0311),State Agencies Boards & Commissions (I0749)'] 	01/24/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB56 	['HB 1048', 'HB 1604', 'filler']
