Committee Name,Chair,Vice Chair,Members,TLO URL,Appointment Date,Clerk,Phone,Room
Elections (C240),Laubenberg,Israel,Anderson Rodney; Fallon; Larson; Reynolds; Swanson,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C240,  1/10/2017,  Katharine Chambers,  (512) 463-0772,  EXT E2.144
Energy Resources (C250),Darby,"Anderson Charles ""Doc""",Bonnen Greg; Canales; Clardy; Craddick; Guerra; Isaac; King Phil; Lambert; Landgraf; Schubert; Walle,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C250,  1/10/2017,,  (512) 463-0774,  EXT E2.162
Environmental Regulation (C260),Pickett,Thompson Ed,Cyrier; Dale; Kacal; Landgraf; Lozano; Reynolds; Rodriguez Eddie,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C260,  1/10/2017,  Julie Young,  (512) 463-0776,  EXT E2.154
General Investigating & Ethics (C280),Davis Sarah,Moody,Capriglione; Nevárez; Price; Shine; Turner Chris,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C280,  1/10/2017,,  (512) 463-0780,  EXT E2.170
Government Transparency & Operation (C285),Elkins,Capriglione,Gonzales Larry; Lucio III; Shaheen; Tinderholt; Uresti Tomas,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C285,  1/10/2017,  Teri Avery,  (512) 463-0903,  EXT E2.206
Higher Education (C290),Lozano,Raney,Alonzo; Alvarado; Button; Clardy; Howard; Morrison; Turner Chris,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C290,  1/10/2017,  Grady Dahlberg,  (512) 463-0782,  EXT E2.106
Homeland Security & Public Safety (C420),King Phil,Nevárez,Burns; Hinojosa Gina; Holland; Johnson Jarvis; Metcalf; Schaefer; Wray,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C420,  1/10/2017,,  (512) 463-0133,  EXT E2.146
House Administration (C300),Geren,VanDeaver,Bernal; Cyrier; Goldman; Hinojosa Gina; Howard; Oliverson; Raney; Schubert; Vo,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C300,  1/10/2017,  Buffy Crownover,  (512) 463-0784,  EXT E2.140
Human Services (C310),Raymond,Frank,Keough; Klick; Miller Rick; Minjarez; Rose; Swanson; Wu,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C310,  1/10/2017,  Abbie Kamin,  (512) 463-0786,  EXT E2.152
Insurance (C320),Phillips,Muñoz,Anderson Rodney; Gooden; Oliverson; Paul; Sanford; Turner Chris; Vo,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C320,  1/10/2017,  Courtney Reid,  (512) 463-0788,  EXT E2.150
International Trade & Intergovernmental Affairs (C039),Anchia,Keough,Dukes; Ortega; Parker; Shaheen; White,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C039,  1/10/2017,  Jeff Madden,  (512) 463-1211,  EXT E2.158
Investments & Financial Services (C270),Parker,Stephenson,Burrows; Dean; Holland; Johnson Eric; Longoria,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C270,  1/10/2017,  Kory Curtis,  (512) 463-0871,  EXT E2.172
Judiciary & Civil Jurisprudence (C330),Smithee,Farrar,Gutierrez; Hernandez; Laubenberg; Murr; Neave; Rinaldi; Schofield,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C330,  1/10/2017,  Beth Klunder,  (512) 463-0790,  EXT E2.120
Juvenile Justice & Family Issues (C340),Dutton,Dale,Biedermann; Cain; Moody; Schofield; Thierry,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C340,  1/10/2017,  Tamoria Jones,  (512) 463-0794,  EXT E2.202
Land & Resource Management (C360),Herrero,Bell,Bailes; Blanco; Faircloth; Krause; Stucky,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C360,  1/10/2017,  Miguel Liscano,  (512) 463-1623,  EXT E2.136
Licensing & Administrative Procedures (C350),Kuempel,Guillen,Frullo; Geren; Goldman; Hernandez; Herrero; Paddie; Thompson Senfronia,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C350,  1/10/2017,  Brittney Madden,  (512) 463-0798,  EXT E2.156
Local & Consent Calendars (C380),Thompson,Clardy,Burkett; Capriglione; Collier; Dean; Frank; Gonzales Larry; Landgraf; Longoria; Minjarez; Murr; Simmons,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C380,  1/10/2017,  Milda Mora,  (512) 463-0800,  EXT E2.166
Natural Resources (C390),Larson,Phelan,Ashby; Burns; Frank; Kacal; King Tracy O.; Lucio III; Nevárez; Price; Workman,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C390,  1/10/2017,  Shannon Houston,  (512) 463-0802,  EXT E2.104
Pensions (C395),Flynn,Alonzo,Anchia; Hefner; Huberty; Paul; Rodriguez Justin,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C395,  1/10/2017,  Kelli Linza,  (512) 463-2054,  EXT E2.164
Public Education (C400),Huberty,Bernal,Allen; Bohac; Deshotel; Dutton; Gooden; King Ken; Koop; Meyer; VanDeaver,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C400,  1/10/2017,,  (512) 463-0804,  EXT E2.124
Public Health (C410),Price,Sheffield,Arévalo; Burkett; Coleman; Collier; Cortez; Guerra; Klick; Oliverson; Zedler,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C410,  1/10/2017,  Sandra Talton,  (512) 463-0806,  EXT E2.1010
Redistricting (C080),Burkett,Johnson Eric,"Darby; Hernandez; Martinez ""Mando""; Metcalf; Parker; Rodriguez Eddie; Springer",http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C080,  1/10/2017,,  (512) 463-9948,  EXT E2.142
Rules & Resolutions (C440),Lucio III,Kacal,Arévalo; Bailes; Burns; Faircloth; Gervin-Hawkins; Paul; Romero Jr.; Sheffield; Wray,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C440,  1/10/2017,  Sergio Cavazos,  (512) 463-0812,  EXT E2.138
Special Purpose Districts (C448),Murphy,Perez,Bell; Cortez; Cosper; Lang; Schubert;  ,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C448,  1/10/2017,  Laurie McAnally,  (512) 463-0277,  EXT E2.1016
State & Federal Power & Responsibility; Select (C460),Darby,Murr,Anchia; Gonzales Larry; Johnson Eric; King Ken; Paddie; Thompson Senfronia; Turner Chris,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C460,  2/9/2017,,,
State Affairs (C450),Cook,Giddings,Craddick; Farrar; Geren; Guillen; King Ken; Kuempel; Meyer; Oliveira; Paddie; Rodriguez Eddie; Smithee,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C450,  1/10/2017,  Toni Barcellona,  (512) 463-0814,  EXT E2.108
Texas Ports;  Innovation & Infrastructure;  Select (C397),Deshotel,Paul,Faircloth; Goldman; King Tracy O.; Morrison; Oliveira; Ortega; Phelan; Roberts; Rodriguez Justin,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C397,  2/9/2017,  Melissa Quevedo,,  EXT E2.1006
Transportation (C470),Morrison,"Martinez ""Mando""",Burkett; Davis Yvonne; Goldman; Israel; Minjarez; Phillips; Pickett; Simmons; Thompson Ed; Thompson Senfronia; Wray,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C470,  1/10/2017,,  (512) 463-0818,  EXT E2.122
Urban Affairs (C480),Alvarado,Leach,Bernal; Elkins; Isaac; Johnson Jarvis; Zedler,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C480,  1/10/2017,  Rudy England,  (512) 463-9904,  EXT E2.126
Ways & Means (C490),Bonnen Dennis,Davis Yvonne,Bohac; Darby; Johnson Eric; Murphy; Murr; Raymond; Shine; Springer; Stephenson,http://www.legis.state.tx.us/Committees/MembershipCmte.aspx?LegSess=85R&CmteCode=C490,  1/10/2017,  Stephen Bruno,  (512) 463-0822,  EXT E2.116
